지형지물부호,관리번호,관리기관,행정구역,법정구역,법정동리,도로구간번호,공사번호,설치일자,정류장종류,정류장명,정류장유형,정류장고유번호,취득구분,취득금액,관리부서,내용연수,쉘터설치유무,설치유무(BIT),온열의자설치유무,비고,경도,위도
정류장,228,광주시,도척면,도척면,도척면 방도리,262199, ,2000-01-01,공용,방도1리까르방입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3367575,37.28349719
정류장,227,광주시,도척면,도척면,도척면 방도리,262190, ,2000-01-01,공용,방도2리입구,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3384896,37.2812903
정류장,226,광주시,도척면,도척면,도척면 방도리,260569, ,2000-01-01,공용,방도리마을회관,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3203853,37.28182359
정류장,225,광주시,도척면,도척면,도척면 방도리,260477, ,2000-01-01,공용,유정마을안,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.317379,37.28169679
정류장,224,광주시,도척면,도척면,도척면 유정리,260344, ,2000-01-01,공용,유정교,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3174771,37.2875956
정류장,223,광주시,도척면,도척면,도척면 유정리,260344, ,2000-01-01,공용,유정교,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3174875,37.287694
정류장,222,광주시,도척면,도척면,도척면 추곡리,260331, ,2000-01-01,공용,유정낚시터,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3063564,37.28528754
정류장,221,광주시,도척면,도척면,도척면 추곡리,260331, ,2000-01-01,공용,유정낚시터,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3062451,37.28534255
정류장,220,광주시,도척면,도척면,도척면 추곡리,260031, ,2000-01-01,공용,백련암입구,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3032007,37.28299349
정류장,219,광주시,도척면,도척면,도척면 추곡리,260031, ,2000-01-01,공용,백련암입구,지붕유/표지판유, ,미분류,0,대중교통과,10,,,, ,127.3033175,37.28321309
정류장,218,광주시,도척면,도척면,도척면 추곡리,260252, ,2000-01-01,공용,추곡리마을회관,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2911824,37.27917132
정류장,217,광주시,도척면,도척면,도척면 추곡리,260041, ,2000-01-01,공용,추곡리,지붕무/표지판유, ,미분류,0,대중교통과,10,,,, ,127.2916774,37.27389216
